,Accuracy,F1-Score,Top3-Acc,CV-F1,Accuracy_norm,F1-Score_norm,Top3-Acc_norm,Consistency
Logistic Regression,0.25,0.2441,0.5738,0.1882,1.0,1.0,0.9328535980148884,0.9765689941812137
Random Forest,0.2377,0.2357,0.5902,0.2067,0.7878571428571428,0.9346739984289079,1.0,0.8984302475821468
Bagging,0.2295,0.2225,0.582,0.2309,0.6464285714285716,0.8320188531029064,0.9664267990074442,0.7928963494682134
SGD Classifier,0.2459,0.1967,0.5451,0.1172,0.9292857142857145,0.6313747054202671,0.8153473945409433,0.771920235519485
K-Nearest Neighbours,0.2336,0.2098,0.5615,0.2064,0.7171428571428572,0.7332521602513744,0.8824937965260549,0.7709382840392395
Single-Layer Perceptron,0.2295,0.2113,0.5615,0.0,0.6464285714285716,0.7449175176747838,0.8824937965260549,0.7457966392288241
Gradient Boosting,0.2254,0.2196,0.5492,0.229,0.5757142857142855,0.8094658287509817,0.8321339950372211,0.7187204176198493
Stacking Ensemble,0.2172,0.1995,0.5656,0.1906,0.43428571428571444,0.6531500392772978,0.8992803970223326,0.6065907809101263
Multi-Layer Perceptron,0.2172,0.1997,0.5492,0.0,0.43428571428571444,0.6547054202670854,0.8321339950372211,0.5962121915102117
Kernel SVM (RBF),0.209,0.2056,0.582,0.1596,0.29285714285714276,0.7005891594658287,0.9664267990074442,0.5104867821291096
Linear SVM,0.2049,0.2014,0.5902,0.1761,0.22214285714285723,0.6679261586802826,1.0,0.428646184236571
AdaBoost,0.2008,0.1717,0.5287,0.149,0.15142857142857163,0.4369520816967791,0.7482009925558313,0.2932868599111668
Naive Bayes,0.2172,0.1168,0.4795,0.1119,0.43428571428571444,0.01,0.5467617866004963,0.02880970357800515
Decision Tree,0.1926,0.193,0.3484,0.1796,0.01,0.6026001571091908,0.01,0.01487656356055464
